Occupation (O*NET-SOC Title),Mean_Automation_Rating,High_Risk_Task_Pct,Total_Tasks
Video Game Designers,2.5277777777777777,8.333333333333332,36
Information Technology Project Managers,2.5454545454545454,13.636363636363635,22
Computer and Information Systems Managers,2.5555555555555554,16.666666666666664,18
Computer and Information Research Scientists,2.6,6.666666666666667,15
Information Security Analysts,3.0,18.181818181818183,11
Computer Systems Engineers/Architects,3.037037037037037,25.925925925925924,27
Computer Systems Analysts,3.409090909090909,40.909090909090914,22
Network and Computer Systems Administrators,3.4166666666666665,50.0,24
Computer Network Support Specialists,3.739130434782609,60.86956521739131,23
Software Quality Assurance Analysts and Testers,3.761904761904762,57.14285714285714,42
Database Administrators,3.8,66.66666666666666,15
Computer Programmers,3.84,60.0,25
Computer User Support Specialists,3.8947368421052633,68.42105263157895,19
Web Developers,4.090909090909091,75.75757575757575,33
Web Administrators,4.12,84.0,25
